ICC Name, Source Component, Target Component, Type of Communication, Android API Count, Java API Count, User Action Count, Permissions, SSoutO, Repacked
 , , , , , , ,[android.permission.INTERNET]-[android.permission.ACCESS_NETWORK_STATE]-[android.permission.ACCESS_FINE_LOCATION]-[android.permission.ACCESS_COARSE_LOCATION]-[android.permission.READ_PHONE_STATE]-[android.permission.ACCESS_WIFI_STATE]-[com.popeyeenglishvideos.permission.C2D_MESSAGE]-[com.google.android.c2dm.permission.RECEIVE]-[android.permission.WAKE_LOCK]-[android.permission.VIBRATE]-,0,1
startActivity,com/google/ads/AdActivity$StaticMethodWrapper,com/google/ads/AdActivity,external,0,0,0
startActivity,com/popeyeenglishvideos/BT_screen_excelDoc,android.intent.action.SEND,internal,184,327,92
startActivity,com/popeyeenglishvideos/BT_screen_excelDoc,android.intent.action.VIEW,internal,184,330,92
startActivity,com/popeyeenglishvideos/BT_screen_excelDoc,android.intent.action.VIEW,internal,184,334,92
startActivity,com/popeyeenglishvideos/BT_screen_htmlDoc$2,android.intent.action.VIEW,external,184,335,92
startActivity,com/popeyeenglishvideos/BT_screen_htmlDoc,android.intent.action.SEND,internal,184,335,98
startActivity,com/popeyeenglishvideos/BT_screen_htmlDoc,android.intent.action.VIEW,internal,184,335,98
startActivity,com/popeyeenglishvideos/BT_screen_map,android.intent.action.VIEW,internal,185,335,112
startActivity,com/popeyeenglishvideos/BT_screen_pdfDoc,android.intent.action.SEND,internal,185,341,133
startActivity,com/popeyeenglishvideos/BT_screen_pdfDoc,android.intent.action.VIEW,internal,185,344,133
startActivity,com/popeyeenglishvideos/BT_screen_pdfDoc,android.intent.action.VIEW,internal,185,348,133
startActivity,com/popeyeenglishvideos/BT_screen_pptDoc,android.intent.action.SEND,internal,185,355,140
startActivity,com/popeyeenglishvideos/BT_screen_pptDoc,android.intent.action.VIEW,internal,185,358,140
startActivity,com/popeyeenglishvideos/BT_screen_pptDoc,android.intent.action.VIEW,internal,185,362,140
startActivity,com/popeyeenglishvideos/BT_screen_splash,android.intent.action.VIEW,internal,185,371,163
startActivity,com/popeyeenglishvideos/BT_screen_wordDoc,android.intent.action.SEND,internal,185,377,171
startActivity,com/popeyeenglishvideos/BT_screen_wordDoc,android.intent.action.VIEW,internal,185,380,171
startActivity,com/popeyeenglishvideos/BT_screen_wordDoc,android.intent.action.VIEW,internal,185,384,171
startService,com/popeyeenglishvideos/Cp_stream,null,internal,186,390,181
sendBroadcast,com/popeyeenglishvideos/Cp_stream,com.popeyeenglishvideos.sendseekbar,internal,186,390,182
sendBroadcast,com/popeyeenglishvideos/Cp_streamservice,null,internal,187,390,182
sendBroadcast,com/popeyeenglishvideos/Cp_streamservice,com/popeyeenglishvideos/Cp_stream,internal,187,390,182
sendBroadcast,com/popeyeenglishvideos/Cp_streamservice,com/popeyeenglishvideos/Cp_stream,internal,187,390,182
sendBroadcast,com/popeyeenglishvideos/Cp_streamservice,com/popeyeenglishvideos/Cp_stream,internal,187,390,182
startActivity,com/popeyeenglishvideos/Cr_html_pro$2,android.intent.action.VIEW,external,193,390,183
startActivity,com/popeyeenglishvideos/Cr_html_pro,android.intent.action.SEND,internal,193,390,189
startActivity,com/popeyeenglishvideos/Cr_html_pro,android.intent.action.VIEW,internal,193,390,189
startActivity,com/popeyeenglishvideos/Email_image,android.intent.action.SEND,internal,193,410,214
startActivity,com/popeyeenglishvideos/Email_image,android.intent.action.PICK,internal,195,426,214
startActivityForResult,com/popeyeenglishvideos/Email_image,android.intent.action.PICK,internal,195,426,214
startActivity,com/popeyeenglishvideos/Email_image,android.media.action.IMAGE_CAPTURE,internal,195,430,214
startActivityForResult,com/popeyeenglishvideos/Email_image,android.media.action.IMAGE_CAPTURE,internal,195,430,214
startActivity,com/popeyeenglishvideos/La_email_audio$1,android.intent.action.PICK,external,195,430,225
startActivityForResult,com/popeyeenglishvideos/La_email_audio$1,android.intent.action.PICK,external,195,430,225
startActivity,com/popeyeenglishvideos/La_email_audio$2,android.intent.action.SEND,external,195,430,226
sendBroadcast,com/popeyeenglishvideos/La_voice_notes,android.intent.action.MEDIA_SCANNER_SCAN_FILE,internal,198,436,230
startActivity,com/popeyeenglishvideos/Save_contact,android.intent.action.INSERT,internal,198,456,255
startActivityForResult,com/popeyeenglishvideos/Save_contact,android.intent.action.INSERT,internal,198,456,255
startActivity,com/popeyeenglishvideos/Sp_youtube_android$1,ytv://,external,198,456,256
startActivity,com/revmob/ads/fullscreen/RevMobFullscreen,com/revmob/ads/fullscreen/FullscreenActivity,external,198,458,290
startActivityForResult,com/revmob/ads/fullscreen/RevMobFullscreen,com/revmob/ads/fullscreen/FullscreenActivity,external,198,458,290
startActivity,com/revmob/internal/MarketAsyncManager,android.intent.action.VIEW,external,216,514,293
startActivity,com/revmob/internal/MarketAsyncManager,android.intent.action.VIEW,external,216,514,293
